Year,Jurisdiction,Product,Value (dollars)
2000,Canada,Gross value of maple products,182179000
2000,New Brunswick,Gross value of maple products,3231000
2000,Nova Scotia,Gross value of maple products,0
2000,Ontario,Gross value of maple products,17696000
2000,Quebec,Gross value of maple products,161252000
2001,Canada,Gross value of maple products,158555000
2001,New Brunswick,Gross value of maple products,3396000
2001,Nova Scotia,Gross value of maple products,989000
2001,Ontario,Gross value of maple products,10825000
2001,Quebec,Gross value of maple products,143345000
2002,Canada,Gross value of maple products,179035000
2002,New Brunswick,Gross value of maple products,5849000
2002,Nova Scotia,Gross value of maple products,1130000
2002,Ontario,Gross value of maple products,11063000
2002,Quebec,Gross value of maple products,160993000
2003,Canada,Gross value of maple products,208607000
2003,New Brunswick,Gross value of maple products,6845000
2003,Nova Scotia,Gross value of maple products,1395000
2003,Ontario,Gross value of maple products,10750000
2003,Quebec,Gross value of maple products,189617000
2004,Canada,Gross value of maple products,228418000
2004,New Brunswick,Gross value of maple products,8044000
2004,Nova Scotia,Gross value of maple products,1068000
2004,Ontario,Gross value of maple products,10928000
2004,Quebec,Gross value of maple products,208378000
2005,Canada,Gross value of maple products,197093000
2005,New Brunswick,Gross value of maple products,8934000
2005,Nova Scotia,Gross value of maple products,1054000
2005,Ontario,Gross value of maple products,10988000
2005,Quebec,Gross value of maple products,176117000
2006,Canada,Gross value of maple products,187745000
2006,New Brunswick,Gross value of maple products,10878000
2006,Nova Scotia,Gross value of maple products,1045000
2006,Ontario,Gross value of maple products,11195000
2006,Quebec,Gross value of maple products,164627000
2007,Canada,Gross value of maple products,176234000
2007,New Brunswick,Gross value of maple products,10702000
2007,Nova Scotia,Gross value of maple products,1067000
2007,Ontario,Gross value of maple products,12088000
2007,Quebec,Gross value of maple products,152377000
2008,Canada,Gross value of maple products,204120000
2008,New Brunswick,Gross value of maple products,8817000
2008,Nova Scotia,Gross value of maple products,915000
2008,Ontario,Gross value of maple products,15469000
2008,Quebec,Gross value of maple products,178919000
2009,Canada,Gross value of maple products,395207000
2009,New Brunswick,Gross value of maple products,22230000
2009,Nova Scotia,Gross value of maple products,1040000
2009,Ontario,Gross value of maple products,25644000
2009,Quebec,Gross value of maple products,346293000
2010,Canada,Gross value of maple products,291061000
2010,New Brunswick,Gross value of maple products,18620000
2010,Nova Scotia,Gross value of maple products,1534000
2010,Ontario,Gross value of maple products,19225000
2010,Quebec,Gross value of maple products,251682000
2011,Canada,Gross value of maple products,339154000
2011,New Brunswick,Gross value of maple products,21728000
2011,Nova Scotia,Gross value of maple products,1667000
2011,Ontario,Gross value of maple products,32559000
2011,Quebec,Gross value of maple products,283200000
2012,Canada,Gross value of maple products,305543000
2012,New Brunswick,Gross value of maple products,20399000
2012,Nova Scotia,Gross value of maple products,1400000
2012,Ontario,Gross value of maple products,14544000
2012,Quebec,Gross value of maple products,269200000
2013,Canada,Gross value of maple products,409661000
2013,New Brunswick,Gross value of maple products,28892000
2013,Nova Scotia,Gross value of maple products,2225000
2013,Ontario,Gross value of maple products,30845000
2013,Quebec,Gross value of maple products,347700000
2014,Canada,Gross value of maple products,381222000
2014,New Brunswick,Gross value of maple products,30580000
2014,Nova Scotia,Gross value of maple products,1779000
2014,Ontario,Gross value of maple products,25863000
2014,Quebec,Gross value of maple products,323000000
2015,Canada,Gross value of maple products,358242000
2015,New Brunswick,Gross value of maple products,24415000
2015,Nova Scotia,Gross value of maple products,1176000
2015,Ontario,Gross value of maple products,26151000
2015,Quebec,Gross value of maple products,306500000
2016,Canada,Gross value of maple products,484109000
2016,New Brunswick,Gross value of maple products,22023000
2016,Nova Scotia,Gross value of maple products,3200000
2016,Ontario,Gross value of maple products,23286000
2016,Quebec,Gross value of maple products,435600000
2017,Canada,Gross value of maple products,493992000
2017,New Brunswick,Gross value of maple products,22003000
2017,Nova Scotia,Gross value of maple products,2473000
2017,Ontario,Gross value of maple products,24947000
2017,Quebec,Gross value of maple products,444570000
2018,Canada,Gross value of maple products,385531000
2018,New Brunswick,Gross value of maple products,13715000
2018,Nova Scotia,Gross value of maple products,3069000
2018,Ontario,Gross value of maple products,23913000
2018,Quebec,Gross value of maple products,344834000
2019,Canada,Gross value of maple products,519083000
2019,New Brunswick,Gross value of maple products,23217000
2019,Nova Scotia,Gross value of maple products,3847000
2019,Ontario,Gross value of maple products,26535000
2019,Quebec,Gross value of maple products,465484000
2020,Canada,Gross value of maple products,562389000
2020,New Brunswick,Gross value of maple products,20630000
2020,Nova Scotia,Gross value of maple products,2850000
2020,Ontario,Gross value of maple products,25759000
2020,Quebec,Gross value of maple products,513150000
2021,Canada,Gross value of maple products,453034000
2021,New Brunswick,Gross value of maple products,31665000
2021,Nova Scotia,Gross value of maple products,1953000
2021,Ontario,Gross value of maple products,26231000
2021,Quebec,Gross value of maple products,393186000
2022,Canada,Gross value of maple products,0
2022,New Brunswick,Gross value of maple products,33005000
2022,Nova Scotia,Gross value of maple products,0
2022,Ontario,Gross value of maple products,31672000
2022,Quebec,Gross value of maple products,636000000
2023,Canada,Gross value of maple products,0
2023,New Brunswick,Gross value of maple products,20756000
2023,Nova Scotia,Gross value of maple products,0
2023,Ontario,Gross value of maple products,28614000
2023,Quebec,Gross value of maple products,0
